,model,mae,mse,rmse,r2
xgboost,xgboost,0.004436755029778396,0.000278576345668336,0.01669060650990059,0.8825145436570054
lightgbm,lightgbm,0.0051050960701907715,0.00033352446666622435,0.018262652235264853,0.8593409857759899
random_forest,random_forest,0.002863748741993775,0.00016816449402980496,0.012967825339269688,0.9290791101650019
